Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.979400086720376,n_x_0+n_x_6,n_p_0-n_p_4+n_p_7,17,"[2, 5]","[1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,42,"[1, 2, 4, 6]","[3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,n_x_0-n_x_1,n_p_0+n_p_4-n_p_19,20,"[1, 3, 5]","[2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,44,"[1, 3, 4, 6]","[2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,45,"[2, 3, 4, 6]","[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,46,"[1, 2, 3, 4, 6]","[5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0-n_x_1,n_p_0+n_p_8+n_p_19,23,"[4, 5]","[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_6,48,"[1, 5, 6]","[2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0-n_p_6,49,"[2, 5, 6]","[1, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,50,"[1, 2, 5, 6]","[3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0-n_x_8,n_p_0-n_p_1+n_p_11,21,"[2, 3, 5]","[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,52,"[1, 3, 5, 6]","[2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,53,"[2, 3, 5, 6]","[1, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,54,"[1, 2, 3, 5, 6]","[4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.467874862246563,n_x_0+n_x_8,n_p_0-n_p_1+n_p_11,24,"[1, 4, 5]","[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,56,"[1, 4, 5, 6]","[2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,57,"[2, 4, 5, 6]","[1, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,58,"[1, 2, 4, 5, 6]","[3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0,n_p_0,59,"[3, 4, 5, 6]","[1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,60,"[1, 3, 4, 5, 6]","[2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
2.041199826559248,n_x_0,n_p_0,61,"[2, 3, 4, 5, 6]","[1, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
1.2493873660829993,n_x_0,n_p_0,62,"[1, 2, 3, 4, 5, 6]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.559319556497244,n_x_0-n_x_1,n_p_0-n_p_8-n_p_19,19,"[3, 5]","[1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0-n_x_1,n_p_0+n_p_6,43,"[3, 4, 6]","[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,n_x_0+n_x_2,n_p_0-n_p_6,51,"[3, 5, 6]","[1, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
